,Unnamed: 0,사업장명,카페이름,별점,방문자리뷰수,블로그리뷰수,주소,영업시간,전화번호,연결사이트,설명,메뉴,키워드
1489,1489,검단동 투썸플레이스 대구엑스코점,투썸플레이스 대구엑스코점,4.32,478,34,대구 북구 유통단지로8길 86,08:00 - 22:00,053-382-1260,NO INFO,"""NO INFO""",공사중,"{'커피가 맛있어요': '186', '디저트가 맛있어요': '99', '음료가 맛있어요': '91', '매장이 청결해요': '79', '친절해요': '78', '좌석이 편해요': '70', '대화하기 좋아요': '69', '집중하기 좋아요': '38', '인테리어가 멋져요': '30', '주차하기 편해요': '25', '화장실이 깨끗해요': '22', '특별한 메뉴가 있어요': '21', '가성비가 좋아요': '19', '뷰가 좋아요': '13', '사진이 잘 나와요': '4'}"
1490,1490,국우동 카페히스토리스탠드,카페히스토리스탠드,4,34,초기값,대구 북구 주좌길 11 카페히스토리스탠드,11:30 - 20:00,0507-1331-9015,NO INFO,"""반려견과 함께 동반 입장 가능합니다:)""",공사중,"{'친절해요': '10', '커피가 맛있어요': '9', '음료가 맛있어요': '6', '디저트가 맛있어요': '3', '매장이 청결해요': '3'}"
1491,1491,침산2동 메가MGC커피 대구칠성동점,메가MGC커피 칠성동점,4.43,447,11,대구 북구 중앙대로 540,09:30 - 22:00,053-424-2606,NO INFO,"""NO INFO""",공사중,"{'커피가 맛있어요': '155', '가성비가 좋아요': '129', '친절해요': '74', '음료가 맛있어요': '70', '디저트가 맛있어요': '36'}"
1492,1492,칠성동 빽다방 대구칠성하늘채점,빽다방 대구칠성하늘채점,초기값,90,1,대구 북구 중앙대로 540 오페라코오롱하늘채 301동 121호,08:00 - 22:00,0507-1441-9995,NO INFO,"""안녕하세요 빽다방 칠성하늘채점 입니다.""",공사중,"{'가성비가 좋아요': '42', '친절해요': '32', '커피가 맛있어요': '31', '음료가 맛있어요': '31', '매장이 청결해요': '20', '디저트가 맛있어요': '13', '좌석이 편해요': '7', '특별한 메뉴가 있어요': '7', '집중하기 좋아요': '3'}"
1493,1493,침산2동 워크업커피,워크업 커피,초기값,24,2,대구 북구 중앙대로 550-14 1층,NO INFO,070-5097-0112,NO INFO,"""맛있는 디저트와 커피를 합리적인 가격에 즐길 수 있는 커피""",공사중,"{'커피가 맛있어요': '18', '음료가 맛있어요': '12', '디저트가 맛있어요': '11', '친절해요': '7', '매장이 청결해요': '7', '가성비가 좋아요': '6', '화장실이 깨끗해요': '3', '좌석이 편해요': '2', '인테리어가 멋져요': '2', '특별한 메뉴가 있어요': '2', '대화하기 좋아요': '2'}"
1494,1494,침산2동 플레브,플레브스트릿,4.63,121,160,대구 북구 중앙대로 614-9,"11:00 - 21:00
20:50 라스트오더",0507-1369-3418,https://www.instagram.com/fleuve_street,"""프랑스어로 '강'을 뜻하는 플레브(FLEUVE)를 신천으로 재해석하였습니다.
흐르는 신천을 따라가다 마주하는 거리
카페 '플레브스트릿(FLEUVE STREET)' 입니다.
유러피안 라이프 스타일 컨셉으로
느림의 미학(Aesthetics Of Slow)과 충분한 삶(Enough Life)을 지향하며
강물같은 잔잔한 멋을 선사합니다.

서로의 느림을 이해하고 존중해 주세요.

+상업적 촬영 시 사전 협의하셔야 합니다.
 (SNS태그 필수 / 협의없이는 불가-상시확인)
+대관 문의는 네이버톡톡으로 부탁드립니다.""",공사중,"{'커피가 맛있어요': '28', '디저트가 맛있어요': '15', '음료가 맛있어요': '15', '인테리어가 멋져요': '15', '친절해요': '15'}"
1495,1495,칠성동 하이다과점,하이다과점,4.86,54,31,대구 북구 중앙대로105길 19,NO INFO,0507-1416-3346,http://instagram.com/hi_dagwa,"""하이다과점 케이크와 마들렌은 쌀가루와 100% 동물성 생크림으로 만든 수제디저트로 밀가루 소화를 잘 못하시는 분들도 맛있게 드실 수 있어요 :-)""",공사중,"{'디저트가 맛있어요': '24', '친절해요': '16', '커피가 맛있어요': '12', '매장이 청결해요': '9', '음료가 맛있어요': '7'}"
1496,1496,침산2동 더드림커피 대구침산1호점,더드림커피 대구침산1호점,4.56,181,초기값,대구 북구 중앙대로118길 19,"10:00 - 22:00
21:30 라스트오더",053-721-7606,http://www.thedreamcoffee.co.kr,"""대구시 북구 침산동(침산 삼정그린코아 후문)에 위치한 테이크아웃커피전문점 더드림커피입니다.
더드림커피전문점에서는 고품격의 최고급원두를 제공하고 있으며, 더드림커피전문점의 빙수는 한번만 먹어본 사람이 없을 정도로 재주문율과 가성비1등을 늘 유지하고 있습니다. 배달의민족, 요기요, 쿠팡잇츠, 대구로를 통해서 집까지 안전하게 배달해 드리고 있으며, 배달시 엎질러지지 않도록 안전하고 꼼꼼하게 포장해서 보내드린답니다. 우리동네 1등 커피맛집 많은 사랑과 격려 부탁드립니다.
대표메뉴 : 1리터보틀커피, 1리터딸기라떼, 눈꽃인절미빙수, 눈꽃밀크팥빙수, 눈꽃녹차빙수, 눈꽃망고빙수, 딸기라떼, 딸기밀크쉐이크, 망고밀크쉐이크, 허니브레드, 허니바게트볼, 인절미토스트, 크로크무슈, 갈릭브레드, 더드림크로플, 벌꿀케이크""",공사중,"{'커피가 맛있어요': '62', '친절해요': '41', '가성비가 좋아요': '37', '음료가 맛있어요': '32', '매장이 청결해요': '20', '대화하기 좋아요': '13', '좌석이 편해요': '12', '디저트가 맛있어요': '8', '화장실이 깨끗해요': '7', '특별한 메뉴가 있어요': '4', '인테리어가 멋져요': '3', '주차하기 편해요': '3', '집중하기 좋아요': '2', '사진이 잘 나와요': '1', '뷰가 좋아요': '1'}"
1497,1497,관문동 아이아이아이커피,아이아이아이 커피,초기값,10,4,"대구 북구 칠곡중앙대로 181 1,2층 101호","07:30 - 20:00
19:20 라스트오더",0507-1440-4246,NO INFO,"""NO INFO""",공사중,"{'친절해요': '7', '커피가 맛있어요': '6', '디저트가 맛있어요': '5', '음료가 맛있어요': '5', '가성비가 좋아요': '5', '매장이 청결해요': '4', '좌석이 편해요': '2', '특별한 메뉴가 있어요': '2', '대화하기 좋아요': '2', '화장실이 깨끗해요': '2', '뷰가 좋아요': '2', '인테리어가 멋져요': '1'}"
1498,1498,관문동 파스쿠찌 대구칠곡태전DT점,파스쿠찌 대구칠곡태전DT점,4.32,504,14,대구 북구 칠곡중앙대로 238 (태전동) 카페 파스쿠찌,NO INFO,053-321-8497,http://www.caffe-pascucci.co.kr/,"""파스쿠찌 대구칠곡태전DT점입니다. 네이버 스마트주문에서 간편하게 주문하세요!""",공사중,"{'커피가 맛있어요': '77', '음료가 맛있어요': '52', '주차하기 편해요': '48', '매장이 청결해요': '44', '디저트가 맛있어요': '39', '친절해요': '37', '대화하기 좋아요': '34', '좌석이 편해요': '26', '집중하기 좋아요': '19', '인테리어가 멋져요': '15', '화장실이 깨끗해요': '14', '가성비가 좋아요': '12', '특별한 메뉴가 있어요': '11', '사진이 잘 나와요': '9', '뷰가 좋아요': '7'}"
1499,1499,태전2동 마이우디,마이우디,초기값,76,13,대구 북구 칠곡중앙대로 281 마이우디(MY WOODY),NO INFO,010-9581-1426,https://smartstore.naver.com/mywoody,"""대구 북구 태전동, 태전삼거리에 위치한 커피&수제쿠키 디저트 카페""",공사중,"{'디저트가 맛있어요': '58', '친절해요': '54', '음료가 맛있어요': '41', '커피가 맛있어요': '37', '매장이 청결해요': '30', '인테리어가 멋져요': '14', '사진이 잘 나와요': '9', '가성비가 좋아요': '9', '대화하기 좋아요': '8', '좌석이 편해요': '7', '특별한 메뉴가 있어요': '5', '집중하기 좋아요': '2'}"
1500,1500,태전1동 아마스빈 대구보건대점,아마스빈 대구보건대점,초기값,273,8,대구 북구 칠곡중앙대로 341 1층,NO INFO,053-325-0809,NO INFO,"""NO INFO""",공사중,"{'음료가 맛있어요': '162', '친절해요': '85', '매장이 청결해요': '56', '커피가 맛있어요': '53'}"
1501,1501,태전1동 카페봄봄 보건대점,카페봄봄 보건대점,4.57,372,13,대구 북구 칠곡중앙대로 345,10:00 - 22:00,053-325-9794,NO INFO,"""NO INFO""",공사중,"{'커피가 맛있어요': '106', '가성비가 좋아요': '78', '음료가 맛있어요': '75', '친절해요': '65', '매장이 청결해요': '20', '디저트가 맛있어요': '18', '특별한 메뉴가 있어요': '13', '인테리어가 멋져요': '5', '집중하기 좋아요': '4', '대화하기 좋아요': '4', '좌석이 편해요': '3', '사진이 잘 나와요': '3', '화장실이 깨끗해요': '2', '뷰가 좋아요': '2', '주차하기 편해요': '1'}"
1502,1502,태전2동 레프트뱅크,레프트뱅크 칠곡태전점,초기값,50,2,대구 북구 칠곡중앙대로 398 1층,NO INFO,0507-1372-7814,https://www.instagram.com/leftbank_taejeon/,"""레프트뱅크 칠곡태전점입니다""",공사중,"{'친절해요': '28', '음료가 맛있어요': '22', '커피가 맛있어요': '16', '가성비가 좋아요': '14'}"
1503,1503,태전2동 조이커피,조이커피,4.92,33,초기값,대구 북구 칠곡중앙대로 412,NO INFO,010-2501-4428,NO INFO,"""칠곡 네오시티프라자 8층 세븐스포츠내에 위치한 커피전문점입니다 고급 원두를 사용한 고급 브랜드의 커피를 제공하고 있습니다
8층 휘트니스, 7층 수영장을 관람할 수 있도록 되어 있습니다""",공사중,"{'음료가 맛있어요': '7', '커피가 맛있어요': '6', '대화하기 좋아요': '5', '친절해요': '3', '특별한 메뉴가 있어요': '2'}"
1504,1504,읍내동 할로커피,할로커피,초기값,30,3,대구 북구 칠곡중앙대로 434 203호 (대구읍내 행복주택),NO INFO,053-325-3587,NO INFO,"""NO INFO""",공사중,"{'커피가 맛있어요': '21', '디저트가 맛있어요': '12', '음료가 맛있어요': '8', '친절해요': '7', '매장이 청결해요': '7', '가성비가 좋아요': '6', '인테리어가 멋져요': '2', '좌석이 편해요': '1'}"
1505,1505,읍내동 카페별자리,카페별자리,초기값,31,6,대구 북구 칠곡중앙대로 434 상가 109호 카페별자리,09:00 - 22:00,0507-1456-0280,https://www.instagram.com/star_sign434,"""수제디저트샵 카페별자리입니다 :)""",공사중,"{'인테리어가 멋져요': '17', '음료가 맛있어요': '13', '커피가 맛있어요': '12', '친절해요': '12', '디저트가 맛있어요': '9', '매장이 청결해요': '9', '가성비가 좋아요': '6', '대화하기 좋아요': '5', '좌석이 편해요': '4', '사진이 잘 나와요': '3', '특별한 메뉴가 있어요': '2', '뷰가 좋아요': '2', '주차하기 편해요': '1'}"
1506,1506,관음동 카페봄봄 칠곡 읍내점,봄봄 칠곡읍내점,4.5,415,10,대구 북구 칠곡중앙대로 450 109호,07:00 - 22:00,0507-1391-7700,NO INFO,"""NO INFO""",공사중,"{'커피가 맛있어요': '67', '가성비가 좋아요': '65', '친절해요': '42', '음료가 맛있어요': '40', '매장이 청결해요': '19', '사진이 잘 나와요': '10', '디저트가 맛있어요': '4', '특별한 메뉴가 있어요': '3', '집중하기 좋아요': '3', '대화하기 좋아요': '3', '인테리어가 멋져요': '2', '좌석이 편해요': '1', '주차하기 편해요': '1', '화장실이 깨끗해요': '1', '뷰가 좋아요': '1'}"
1507,1507,관음동 요거트아이스크림의정석 대구칠곡점,요거트아이스크림의정석 대구칠곡점,초기값,32,10,대구 북구 칠곡중앙대로 463 1층 103호,"12:00 - 01:00
00:40 라스트오더",070-7807-1043,https://instagram.com/yoajung_chilgok?igshid=YmMyMTA2M2Y=,"""대구 최초 <카페> 요거트 아이스크림의 정석
4월 10일 OPEN!!

**** 홀 영업은 21시, 배달&포장 라스트오더는 새벽 12시 40분입니다 !!!!!

* 오픈이벤트 안내 *
4월 8일 (토) ~ 4월 14일 (금)
- 아메리카노 1+1
- 요거트 아이스크림 구매 시 토핑 2가지 무료 (벌집꿀, 과일제외)

많은 관심 부탁드립니다 :)

카페 요아정에서는 다양한 토핑을 활용하여 나만의 조합으로 먹을 수 있는 맛있는 요거트 아이스크림을 즐기실 수 있습니다 ^-^

* 배달 / 홀 모두 이용 가능합니다.

* 홀은 저녁 9시까지 / 배달 & 포장은 새벽 1시까지 입니다 :)

* 배달 & 포장 마지막 주문 : 새벽 12시 40분""",공사중,"{'디저트가 맛있어요': '28', '친절해요': '24', '매장이 청결해요': '23', '인테리어가 멋져요': '14'}"
1508,1508,관음동 춘이네커피살롱,춘이네 커피살롱,4.61,64,초기값,대구 북구 칠곡중앙대로 526 칠곡시장 춘이네 커피살롱,08:00 - 20:00,0507-1415-9441,NO INFO,"""퀄리티 좋은 원두 포장 배달 전문""",공사중,"{'커피가 맛있어요': '13', '친절해요': '12', '가성비가 좋아요': '8', '음료가 맛있어요': '6', '특별한 메뉴가 있어요': '5'}"
1509,1509,읍내동 레나,레나커피,초기값,46,4,대구 북구 칠곡중앙대로 535 1층,"09:00 - 20:00
19:45 라스트오더",053-323-3898,https://www.instagram.com/cafe_lena535,"""신선한 재료로 샌드위치와 핫도그를 주문과 동시에 수제로 바로 조리해 드립니다.
깔끔한 커피,달콤한 음료를 맛있고 든든한
브런치 메뉴와 함께 즐겨보세요 :)
항상 최선을 다해 제공해드리겠습니다 :)""",공사중,"{'친절해요': '30', '커피가 맛있어요': '29', '디저트가 맛있어요': '24', '음료가 맛있어요': '23'}"
1510,1510,관음동 그라노데커피,그라노데커피,4.73,274,95,대구 북구 칠곡중앙대로 634 1층 그라노데커피,10:00 - 20:00,0507-1471-3017,NO INFO,"""NO INFO""",공사중,"{'커피가 맛있어요': '109', '친절해요': '40', '음료가 맛있어요': '33', '매장이 청결해요': '31', '인테리어가 멋져요': '25', '대화하기 좋아요': '21', '주차하기 편해요': '14', '가성비가 좋아요': '14', '집중하기 좋아요': '10', '특별한 메뉴가 있어요': '9', '디저트가 맛있어요': '8', '뷰가 좋아요': '6', '좌석이 편해요': '5', '사진이 잘 나와요': '5', '화장실이 깨끗해요': '1'}"
1511,1511,관음동 빽다방 대구칠곡점,빽다방 대구칠곡점,4.55,526,19,대구 북구 칠곡중앙대로 638 빽다방대구칠곡점,08:30 - 21:00,053-325-3737,NO INFO,"""대구 1호점 빽다방대구칠곡점입니다. 50대 이상 주차가능 공간보유 46석의 넓은 실내매장""",공사중,"{'가성비가 좋아요': '109', '커피가 맛있어요': '108', '음료가 맛있어요': '91', '주차하기 편해요': '75', '친절해요': '46', '매장이 청결해요': '44', '디저트가 맛있어요': '17', '대화하기 좋아요': '17', '좌석이 편해요': '14', '특별한 메뉴가 있어요': '12', '인테리어가 멋져요': '10', '화장실이 깨끗해요': '10', '집중하기 좋아요': '4', '뷰가 좋아요': '2', '사진이 잘 나와요': '1', '매장이 넓어요': '1'}"
1512,1512,관음동 요거트월드 대구칠곡점,요거트월드 대구칠곡점,초기값,68,17,대구 북구 칠곡중앙대로110길 16 1층,NO INFO,0507-1300-0536,http://instagram.com/yogurt_world_,"""요거트 아이스크림 & 그릭요거트 전문점""",공사중,"{'디저트가 맛있어요': '48', '친절해요': '43', '매장이 청결해요': '34', '특별한 메뉴가 있어요': '32'}"
1513,1513,관음동 히어앤나우,히어앤나우,4.6,90,170,대구 북구 칠곡중앙대로118길 14,"12:00 - 24:00
23:00 라스트오더",0507-1416-8247,http://www.instagram.com/cafe_hina/,"""NO INFO""",공사중,"{'친절해요': '19', '커피가 맛있어요': '16', '인테리어가 멋져요': '12', '사진이 잘 나와요': '10', '뷰가 좋아요': '10'}"
1514,1514,읍내동 달리는커피 대구읍내점,달리는커피 대구읍내점,4.56,105,76,대구 북구 칠곡중앙대로125길 7 SD아이프라임강북아파트 상가 달리는커피 대구읍내점,08:00 - 21:00,053-321-3353,NO INFO,"""웰빙과 웰니스를 추구하는 디저트 카페로, 샌드위치와 샐러드 전문점입니다 :)""",공사중,"{'친절해요': '43', '음료가 맛있어요': '42', '가성비가 좋아요': '35', '커피가 맛있어요': '34', '매장이 청결해요': '33', '디저트가 맛있어요': '32', '특별한 메뉴가 있어요': '29', '인테리어가 멋져요': '10', '대화하기 좋아요': '10', '좌석이 편해요': '7', '주차하기 편해요': '6', '사진이 잘 나와요': '4', '음식이 맛있어요': '1', '집중하기 좋아요': '1'}"
1515,1515,관음동 카페봄봄 강북프라임점,카페봄봄 강북프라임점,4.58,166,초기값,대구 북구 칠곡중앙대로125길 7 상가301동 1층,09:00 - 21:00,053-322-7472,http://www.cafebombom.co.kr,"""NO INFO""",공사중,"{'커피가 맛있어요': '74', '친절해요': '61', '가성비가 좋아요': '55', '음료가 맛있어요': '52', '매장이 청결해요': '36', '주차하기 편해요': '10', '대화하기 좋아요': '8', '디저트가 맛있어요': '7', '특별한 메뉴가 있어요': '5', '좌석이 편해요': '4', '인테리어가 멋져요': '3', '사진이 잘 나와요': '3', '화장실이 깨끗해요': '3', '집중하기 좋아요': '2', '뷰가 좋아요': '1'}"
1516,1516,관음동 탐앤탐스 대구강북마루점,탐앤탐스 강북마루점,4.46,2193,28,대구 북구 칠곡중앙대로125길 8,10:00 - 23:00,053-325-3019,https://tomntoms.com/,"""NO INFO""",공사중,"{'커피가 맛있어요': '566', '디저트가 맛있어요': '387', '주차하기 편해요': '371', '대화하기 좋아요': '323', '매장이 청결해요': '317', '좌석이 편해요': '260', '음료가 맛있어요': '231', '인테리어가 멋져요': '190', '친절해요': '190', '화장실이 깨끗해요': '133', '뷰가 좋아요': '102', '집중하기 좋아요': '80', '가성비가 좋아요': '78', '특별한 메뉴가 있어요': '54', '사진이 잘 나와요': '30'}"
1517,1517,읍내동 카페씨씨,카페씨씨,4.19,25,초기값,대구 북구 칠곡중앙대로126길 7-12 상가 104호,10:30 - 19:00,0507-1392-7936,http://instagram.com/cafe.cc_,"""NO INFO""",공사중,"{'커피가 맛있어요': '7', '친절해요': '6', '인테리어가 멋져요': '3', '매장이 청결해요': '3', '디저트가 맛있어요': '2', '음료가 맛있어요': '2', '가성비가 좋아요': '2', '주차하기 편해요': '1', '특별한 메뉴가 있어요': '1', '집중하기 좋아요': '1', '화장실이 깨끗해요': '1', '뷰가 좋아요': '1'}"
1518,1518,읍내동 카페트아르,카페 트아르,4.57,24,초기값,대구 북구 칠곡중앙대로128길 13,NO INFO,010-5305-8331,NO INFO,"""각 나라 대표하는 최고 등급의 원두(디카페인 원두도 있어요~)만 에스프레소 기계로 내려 드립니다. 특히 하트가 동동 그려진 카페라떼 맛집입니다. 또 핫과 아이스 가격이 동일하며, 과일쥬스, 과일티, 요거트스무디에 과일이나 과일청을 사용합니다. 건강한 음료를 제공하기 위해 늘 노력하고 있습니다. 바리스타 교육검정장(평생직업개발원 바리스타교육, 대구 북구 청소년지원센터 바리스타교육, 전국장애인부모연대 대구북구지회 바리스타교육)으로도 카페가 운영 되고 있습니다.""",공사중,"{'커피가 맛있어요': '10', '가성비가 좋아요': '6', '매장이 청결해요': '5', '친절해요': '4', '디저트가 맛있어요': '3', '인테리어가 멋져요': '3', '음료가 맛있어요': '2', '대화하기 좋아요': '2', '좌석이 편해요': '1'}"
1519,1519,태전2동 커피프렌즈(COFFEEFRIENDS),커피프렌즈,4.41,59,11,대구 북구 칠곡중앙대로46길 31,NO INFO,053-311-1144,NO INFO,"""NO INFO""",공사중,"{'커피가 맛있어요': '11', '인테리어가 멋져요': '5', '친절해요': '5', '가성비가 좋아요': '4', '대화하기 좋아요': '4', '좌석이 편해요': '3', '매장이 청결해요': '3', '음료가 맛있어요': '2', '디저트가 맛있어요': '1', '특별한 메뉴가 있어요': '1', '화장실이 깨끗해요': '1', '뷰가 좋아요': '1'}"
1520,1520,관문동 청춘다방,청춘다방,4.48,61,초기값,대구 북구 칠곡중앙대로53길 10 칠곡중앙대로 53길 10,11:00 - 22:00,053-313-3726,NO INFO,"""NO INFO""",공사중,"{'커피가 맛있어요': '20', '친절해요': '17', '음료가 맛있어요': '14', '대화하기 좋아요': '11', '가성비가 좋아요': '7'}"
1521,1521,관문동 바루베이크샵,바루베이크샵,4.67,222,78,대구 북구 칠곡중앙대로54길 7 1층 바루베이크샵,11:00 - 19:00,0507-1371-1489,https://www.instagram.com/baru_bakeshop/?igshid=YmMyMTA2M2Y%3D,"""휴무는 인스타를 확인해주세요!""",공사중,"{'디저트가 맛있어요': '172', '친절해요': '98', '매장이 청결해요': '54', '특별한 메뉴가 있어요': '53', '커피가 맛있어요': '46'}"
1522,1522,태전2동 카페얼바인,카페 얼바인2016,4.76,157,118,대구 북구 칠곡중앙대로63길 9-11,"08:00 - 21:50
21:20 라스트오더",070-7807-1664,https://www.instagram.com/cafe_irvine2016,"""바로 추출한 커피와의 조화를 생각하며 직접만든 티푸드 구움과자가 준비되어있습니다. 메뉴 하나하나 정성스럽게 제조하고 더불어 따듯한 분위기에서 편하게 드실 수 있도록 노력중입니다:) 그래서인지 오픈한이래로 쭉 오시는 단골분들이 많은 카페가 되었습니다.""",공사중,"{'커피가 맛있어요': '51', '디저트가 맛있어요': '44', '친절해요': '30', '음료가 맛있어요': '26', '매장이 청결해요': '20', '가성비가 좋아요': '12', '대화하기 좋아요': '11', '특별한 메뉴가 있어요': '9', '인테리어가 멋져요': '7', '사진이 잘 나와요': '5', '집중하기 좋아요': '4', '뷰가 좋아요': '3', '좌석이 편해요': '2', '화장실이 깨끗해요': '1'}"
1523,1523,태전1동 데이세븐,데이세븐,4.58,82,34,"대구 북구 칠곡중앙대로65길 13 1,2층","12:00 - 23:30
23:00 라스트오더",0507-1347-5528,https://dayseven.modoo.at/,"""@수제 벨기에 와플 전문점
*100% 천연버터만을 사용하여 진한 풍미를 담았습니다.
*식어도 쫀득&촉촉함을 유지하는 저희 카페 데이세븐만의 특별한 반죽을 사용하여 주문 즉시 구워 제공합니다.""",공사중,"{'커피가 맛있어요': '10', '음료가 맛있어요': '6', '디저트가 맛있어요': '5', '친절해요': '3', '매장이 청결해요': '3', '가성비가 좋아요': '2', '특별한 메뉴가 있어요': '2', '대화하기 좋아요': '2', '좌석이 편해요': '1', '사진이 잘 나와요': '1', '화장실이 깨끗해요': '1', '뷰가 좋아요': '1'}"
1524,1524,태전1동 모비딕,모비딕,초기값,17,1,대구 북구 칠곡중앙대로65길 13 201호,"11:00 - 22:00
21:50 라스트오더",0507-1324-9827,NO INFO,"""생두를 직접 가게에서 로스팅해서 신선한 원두를 사용하며 로스터리 카페로 핸드드립과 커피를 중점으로 운영합니다! 원두 납품과 원두 판매를 하며, 콜드브루와 드립백도 판매하고 있으니 많은 관심 부탁드립니다~~""",공사중,"{'커피가 맛있어요': '11', '음료가 맛있어요': '7', '친절해요': '5', '디저트가 맛있어요': '4', '가성비가 좋아요': '4', '인테리어가 멋져요': '2', '대화하기 좋아요': '2', '특별한 메뉴가 있어요': '1'}"
1525,1525,태전1동 메르시일공사,메르시일공사,4.69,64,32,대구 북구 칠곡중앙대로67길 9-1 1층 merci104,NO INFO,0507-1469-0126,http://instagram.com/cafe_merci104,"""저희가게에는 수제과일타르트와 망고블랙티가 인기많습니다 다른메뉴들도 맛있으니 맛보러오세요!!""",공사중,"{'음료가 맛있어요': '20', '디저트가 맛있어요': '16', '커피가 맛있어요': '14', '친절해요': '13', '매장이 청결해요': '9', '대화하기 좋아요': '7', '인테리어가 멋져요': '6', '특별한 메뉴가 있어요': '5', '화장실이 깨끗해요': '4', '가성비가 좋아요': '3', '집중하기 좋아요': '3', '좌석이 편해요': '2', '사진이 잘 나와요': '2', '주차하기 편해요': '1', '뷰가 좋아요': '1'}"
1526,1526,태전1동 메가MGC커피 대구보건대점,메가MGC커피 대구보건대점,초기값,195,1,대구 북구 칠곡중앙대로69길 23 1층,08:00 - 22:00,053-311-9111,NO INFO,"""안녕하세요 메가MGC커피 대구보건대점 입니다.""",공사중,"{'가성비가 좋아요': '87', '음료가 맛있어요': '67', '친절해요': '62', '커피가 맛있어요': '61'}"
1527,1527,태전1동 카페코지(cafe kosie),카페코지,초기값,40,10,대구 북구 칠곡중앙대로69길 24,"11:00 - 01:00
00:30 라스트오더",0507-1343-0411,NO INFO,"""비건 디저트와 호주식 커피를 즐기실수 있습니다""",공사중,"{'커피가 맛있어요': '26', '디저트가 맛있어요': '20', '친절해요': '20', '음료가 맛있어요': '17'}"
1528,1528,태전1동 천씨씨커피 대구보건대점,천씨씨 대구보건대점,4.51,390,11,대구 북구 칠곡중앙대로69길 24-1 1층,08:30 - 22:00,053-264-1011,NO INFO,"""NO INFO""",공사중,"{'커피가 맛있어요': '84', '가성비가 좋아요': '72', '친절해요': '62', '음료가 맛있어요': '54', '디저트가 맛있어요': '18', '매장이 청결해요': '15', '좌석이 편해요': '11', '대화하기 좋아요': '9', '특별한 메뉴가 있어요': '8', '집중하기 좋아요': '6', '뷰가 좋아요': '5', '인테리어가 멋져요': '3', '주차하기 편해요': '3', '화장실이 깨끗해요': '3', '사진이 잘 나와요': '2'}"
1529,1529,태전1동 푸키쿠키,푸키쿠키,초기값,65,15,대구 북구 칠곡중앙대로69길 8 1층,NO INFO,010-8355-7298,https://pookiecookie.modoo.at,"""22종의 다양한 쿠키들과 크고 두툼해서
포만감을 느낄수있는 수제쿠키입니다.
*미니쿠키세트는 하루전에 주문해주셔야합니다:)
주차장은 공용주차장이용해주세요.""",공사중,"{'디저트가 맛있어요': '51', '친절해요': '29', '매장이 청결해요': '20', '특별한 메뉴가 있어요': '16'}"
1530,1530,태전1동 르샤흠,르샤흠,초기값,62,9,대구 북구 칠곡중앙대로69길 9-13 르샤흠 101호,"11:00 - 21:00
20:50 라스트오더",0507-1303-6913,https://www.instagram.com/le_charme_dessert/,"""다른 곳에선 볼 수 없는 색다른 맛을 추구하는 매력적인 place, 르 샤흠입니다.""",공사중,"{'디저트가 맛있어요': '45', '커피가 맛있어요': '41', '친절해요': '36', '매장이 청결해요': '25'}"
1531,1531,태전1동 헬로파이,헬로파이,초기값,35,6,대구 북구 칠곡중앙대로75길 6-8,11:00 - 18:00,053-764-9867,https://www.instagram.com/hello._.pie,"""매일 신선한 재료와 다양한 속 재료가 들어간 파이를 만듭니다. 디저트로 여러가지 쿠키가 있습니다.
커피는 NWCA조합 인증 블루마운틴 100% 싱글로 만듭니다. 세계적으로 유명한 블루마운틴 커피를 만나보세요.""",공사중,"{'디저트가 맛있어요': '31', '친절해요': '18', '특별한 메뉴가 있어요': '16', '가성비가 좋아요': '12', '매장이 청결해요': '12', '커피가 맛있어요': '9', '음료가 맛있어요': '3', '인테리어가 멋져요': '2'}"
1532,1532,태전1동 크로플덕오리아가씨 칠곡점,크로플덕오리아가씨 칠곡점,초기값,25,3,대구 북구 칠곡중앙대로77길 11-1 1층,"11:00 - 01:00
00:45 라스트오더",010-3764-6890,NO INFO,"""* 홀마감 P.M 11:00
* A.M 11:00 ~ A.M 01:00
* 토요일 : A.M 11:00 ~ A.M 01:00

안녕하세요 크로플덕 칠곡점입니다 :)

크로플덕 칠곡점은
결식아동 or 급식카드사용아동 에게
무료로 크로플과 쥬스(커피는 앙대용)
를 제공하고있습니다.

겉은 바삭하고
패스츄리처럼 속은 쫀~득한
요즘 가장 핫한 디저트
크로플! 크로와상 + 와플을 판매합니다.

결이 살아있는 정통 페이스트리로
겉은 바삭하고 속은 촉촉한 겉바속촉의 진수!
겹겹이 층이 쌓여 더욱 맛있어요

게다가 입안의 행복감을 선사해주는
크로플덕 오리아가씨 칠곡점만의
신선한 생크림과 다양한 토핑까지!

편하게 자주 찾아주시면
맛있는 크로플과 향기로운 커피로 보답드릴게요

크로플맛집, 커피맛집
크로플덕 오리아가씨 칠곡점 놀러오세요!""",공사중,"{'디저트가 맛있어요': '20', '친절해요': '16', '특별한 메뉴가 있어요': '12', '커피가 맛있어요': '10', '음료가 맛있어요': '10', '매장이 청결해요': '7', '가성비가 좋아요': '5', '인테리어가 멋져요': '2', '좌석이 편해요': '1', '사진이 잘 나와요': '1', '집중하기 좋아요': '1', '대화하기 좋아요': '1'}"
